Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Bulgaria,2,EUR,8.4, [6.5 - 11.7] , 8.40 ,5.9, [4.5 - 8.7] , 5.90 , 459.2 , [356.5 - 644.7] , 459.20 , 199.0 , [184.8 - 334.1] , 199.00 , 647.2 ," 1,413.9 "," 7,014.0 ", 0.6 ,1,SELECTED,OGTT,,
Channel Islands,2,EUR,5.7, [5.0 - 7.9] , 5.70 ,4.3, [3.8 - 6.3] , 4.30 , 7.1 , [6.2 - 9.7] , 7.10 , 2.7 , [3.2 - 5.0] , 2.70 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Croatia,2,EUR,6.8, [5.3 - 14.4] , 6.80 ,5.6, [4.4 - 11.0] , 5.60 , 216.0 , [168.1 - 454.3] , 216.00 , 81.7 , [87.1 - 235.4] , 81.70 ," 1,146.6 "," 1,771.5 "," 2,068.9 ", 0.7 ,0,SELECTED,Other,,
Cyprus,2,EUR,10.4, [7.2 - 17.2] , 10.40 ,9.6, [6.6 - 15.9] , 9.60 , 89.7 , [62.2 - 148.2] , 89.70 , 33.8 , [32.2 - 76.8] , 33.80 ," 2,207.5 "," 2,574.1 ", 489.9 , 0.2 ,1,SELECTED,OGTT,,
Czech Republic,2,EUR,9.9, [7.8 - 13.0] , 9.90 ,7.4, [5.8 - 10.1] , 7.40 , 799.3 ," [631.0 - 1,045.6] ", 799.30 , 301.8 , [327.0 - 541.8] , 301.80 ," 1,552.1 "," 2,250.1 "," 7,908.0 ", 2.0 ,0,SELECTED,Other,,
Denmark,2,EUR,9.9, [8.5 - 11.1] , 9.90 ,7.2, [6.3 - 8.1] , 7.20 , 405.5 , [350.2 - 455.0] , 405.50 , 154.8 , [181.5 - 235.8] , 154.80 ," 7,272.4 "," 5,280.6 "," 3,645.4 ", 1.5 ,0,SELECTED,Other,,
Estonia,2,EUR,6.0, [4.3 - 11.6] , 6.00 ,4.4, [3.2 - 9.3] , 4.40 , 59.0 , [42.1 - 113.3] , 59.00 , 22.3 , [21.8 - 58.7] , 22.30 ," 1,288.6 "," 1,746.8 ", 770.0 , 0.3 ,0,SELECTED,Other,,
Faroe Islands,2,EUR,7.4, [6.0 - 9.0] , 7.40 ,5.5, [4.4 - 7.0] , 5.50 , 2.6 , [2.1 - 3.1] , 2.60 , 1.0 , [1.1 - 1.6] , 1.00 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Finland,2,EUR,9.0, [6.7 - 11.0] , 9.00 ,6.0, [4.3 - 7.8] , 6.00 , 360.0 , [270.4 - 442.4] , 360.00 , 138.9 , [140.1 - 229.3] , 138.90 ," 5,043.4 "," 4,085.5 "," 2,878.4 ", 4.1 ,1,SELECTED,OGTT,,
France,2,EUR,7.4, [6.1 - 9.1] , 7.40 ,5.3, [4.4 - 6.6] , 5.30 ," 3,304.3 "," [2,712.2 - 4,072.7] "," 3,304.30 "," 1,246.9 "," [1,405.5 - 2,110.5] "," 1,246.90 "," 5,781.7 "," 5,151.7 "," 26,371.6 ", 10.1 ,0,SELECTED,Other,,
